category_name,category_id
Eye Shadow Stick,7896251
Blackout Curtains,1331481
Plus Size Tops,136318
King Duvet Covers,4531543
Boys Outfit Sets,8960515
Underwire Bras,1225395
Womens One-piece Swimsuits,9039965
Womens Workwear Sweaters,2601848
Womens Nightshirts & Gowns,1228570
Mens Pajama Sets,8980788
Eyelash Enhancer,8598364
Floor Decor,5090772
Mens Wide Shoes,8222941
Colored Sheets,1745653
Womens Two Piece Sets,3848717
Men's Disney Tees,4042794
Womens Workout Bottoms,9768513
Tshirts for Women,1199499
Cycling Pants,6979209
Shoe Racks,2062076
Womens Tank Tops,1199500
Mens Slim Fit Jeans,4238274
Throw Pillow Covers,5188883
Mens Jeans,1224674
Bed Blankets,2903230
All Makeup,8924647
Cooling Sheets,1510438
Lingerie Sets,2404291
Upholstered Headboards,7832115
Shop All Bar Stools & Counter Stools,5435701
Medium Roast Coffee,2272924
Mens Rings,3999564
Womens Blouses,1199489
Dry Mouth Mouthwash,5654027
Full Bases,8097185
Baby Girls Clothing,3279226
Shop All Patio Furniture,1609170
Bedding Sets,5558612
Mens Workout Shirts,1852229
White Sheets,4299542
Oral Care Accessories,1891099
Golf Shirts,2270902
Womens Rings,3568479
Block Heels,1769624
Plus Size Activewear,593002
Womens Sweatshirts & Hoodies,6248847
Heating Mattress toppers,6291906
Adult Electric Scooters,2027088
Stilettos,1249740
Beta Carotene,3182874
Plus Size Jeans,1218835
Workout Leggings,4090632
Ballet Flats,7770534
Plus Size Tshirts,1218841
Bed Sheets,133061
Pillowcases,9280424
Shop Curtains,2606905
Bed Skirts,580812
Twin Sheets,2647631
Womens Shoes,163925
Big and Tall Graphic Tees,1085727
Womens Leggings,1199492
Womens Pajama Sets,8406331
Womens Athletic Shorts,2510197
Pets Subscription,2734845
Premium Cologne for Men,6815516
Boys Athletic Shirts,2149849
Mens Workout Pants,9623989
Hanes Mens T-Shirts,2946805
Aftershaves,3096153
Sheet Sets,8012601
Baby Girls Casual Dresses,4658554
Lunchbox favorites,2724479
Gray Dressers,1672510
Womens Over the Knee Boots,9911148
Quilt Sets,3808680
Anniversary Rings,1228377
Dresses,6739209
Womens Boyfriend Jeans,1843648
Womens Casual Shoes,1228545
Cocokind,5392018
Men's Character Shop,3443311
Shop All Teens' Bedding,2716120
Couch Covers,1278006
Briefs,1225400
Womens Pants,1199491
All Area Rugs,418437
Campbell's,7461041
Mens Jewelry,1228260
Wireless Bras,1225397
Mens Robes,6133099
Comforter Sets,5287544
Dietary supplements,4808243
Seasoning mixes & blends,9677176
Mens T-Shirts,3187021
Toddler Bedding Sets & Sheets,164205
Desk Chairs,91853
School Backpacks,3134823
Young Adult Sweatshirts & Hoodies,2203618
Static Guard,3313589
Womens Activewear,592996
Painter's Tape,1230533
Pillow Top Mattress Toppers,3100382
Sateen Sheets,5494295
Boys Sandals,7497137
MaryRuth Organics,3422293
For you Health & Beauty,6430735
Insoles,1243770
Size 4 Diapers,6468614
Plus Size Underwire Bras,9792543
Maternity Blouses & Shirts,1224736
Cardigans for Women,4393605
Plus Size Pants,1218836
Metallic Decorative Baking,5947033
Men's Movies and TV Tees,2695239
Girls Dress Shoes,1750784
Womens Dresses,538874
Boys Socks,3843108
Party Dresses,4466149
Water Flavoring,1889470
Women's Body Wash,4894005
Womens Plus Skirts,1218834
Mens Cargo Shorts,5629746
Womens Plus Swimsuits,164064
Wireless Printers,4734818
Toddler Girls Outfit Sets,7315934
Halloween Themed Clothing,1073904
Baby Snack Foods,6373549
Nails,1001529
Denim Dressing,5337525
Big Girls One-piece Pajamas,5744944
Pajama Bottoms,7242037
Womens Water Shoes,8297509
Down Alternative Comforters,4384332
Juniors Jeans,1225056
Clean & Clear,9060273
Girls Dresses,9348632
High Heels,2520135
Water Shoes,4690988
Boys Athletic Shoes,9706216
Mens Shorts,1224677
Boxed christmas chocolate,4912570
Womens Tops,164060
Womens Dress Boots,5713560
Womens Petite Plus Size,5989039
Wedges,3471662
Garnier Hair Care,2803354
Fine Jewelry,6070542
Conditioning Hair Color,7554220
Womens Joggers,8388440
Young Adult Pajamas,1806866
Trading Card Binders & Sleeves,6502801
Womens Sandals,1228547
Jessica London,7566704
Womens Sweaters,2603758
Slipcovers,163983
Bathroom Rugs & Bath Mats,4214483
Shop All Fabric,1085270
Mineral Sunscreen,5548238
All Powdered Drink Mix,6396648
Lipstick,5594229
Mens Casual Button Down Shirts,1224676
All Mascara,3664725
Hipsters,1225402
Duvet Cover Sets,2674559
Womens Booties,2631335
Mens Boxer Briefs,4357908
Kids' Cereal,1454872
Rawhides,1936571
All Runner Rugs,110894
Plus Size Dresses,1218833
Womens Swimsuit Tops,5822418
Yellow Paint,9552416
Baby Boys Casual Outfit Sets,9664821
Shoelaces,5924669
Mens Cargo Pants,2686338
Men's Styling Products,2543345
Womens Workwear Blouses,8179745
Mens Work Uniforms,5735839
Ice Cream Bars,4548719
Mens Oxfords Shoes,1978029
Womens White Dresses,5441079
Boys Pajama Sets,3141396
Girls Uniform Bottoms,7570837
Womens Hoodies,7602355
browse subscription pantry,3391461
Look Good While Working Out,5897186
Maternity T-Shirts,8442145
Boy Shorts,1225399
Casual Dresses,4967449
Cologne for Men,6873232
Cotton Sheets,1534808
Womens Jumpsuits,5325397
Bed In A Bag,3388004
Boys Swim Trunks,2140353
Plus Size Sweaters,1218839
Canned fruit,3707472
Midi Dresses,9036668
Table Runners,6267997
Mens Pajama Bottoms,3399189
Wallets,1043858
Medgear Scrubs,5422126
Mens Denim Shorts,7803465
Shop all Massagers,2915217
Fabric Tablecloths,2356496
All Dog Gates,1619487
Mens Pajamas and Robes,489816
Mens Work Pants,2138835
Maybelline Lip Makeup,7808370
Womens Mid Calf Boots,9761845
Mens Workout Shorts,4426112
Womens Bras,1078025
Mens Polo Shirts,1224680
Womens Plus Thermal Sets,3475559
Kids Clothing,2583047
Red Hair Dye,2326195
Mens Safety Shoes,4213880
Quilts,1024979
King Beds,2698834
Men's Hiking Pants,6060525
Mens Graphic Tees,9358077
Mens Regular Fit Jeans,1253617
Football Pants,7258287
Native Deodorant,1452181
Mens Swimwear,163874
Fruit of the Loom Mens T-Shirts,8909801
Hanes Mens Shorts,2191697
All Toothpaste,8164419
Bralettes,3084970
Shop All Patio Sets,7329872
Womens Panties,1232635
Mens Briefs,7301224
All Baseball Gear & Equipments,2186569
All Vitamins & Supplements,8090261
Duvet Covers,6974400
Kids' Sheets,1156115
Womens Shorts,5519924
Mens Pullover Sweaters,5305859
Metal Bed Frames,7728882
Clean Beauty Makeup,2574014
Girls Coats and Jackets,2385763
"All Cat Feeders, Fountains, and Bowls",2039871
Plus Size Pajama Sets,6874441
Young Adult Swimsuits,9430128
All Dog Dental Care,1861679
Womens Swimsuit Cover-ups,9175898
Mens Workout Clothing,592999
Low Support,4861669
Premium Hair Styling Products,4320435
Wedding Tablecloths,2557018
Whipped Toppings,4688392
Arthritis pain relief,3835186
Shop all kids,6049793
Hand Soaps,1001719
Stickers,5211307
Mens Thermal Underwear,4016453
Belts,439435
All Cat Food,1014999
Grains,7953903
Pain Relief,9385426
Dinnerware & Serving Storage,1075865
Big and Tall Pajama Bottoms,2251180
Queen Beds,3260170
Maternity Shorts,9565036
Womens Plus Shorts,3973367
Womens Cropped Jeans,3526825
Toddler Boys Swim Trunks,2228100
Microfiber Sheets,2660867
Chocolate Bars,3761246
Mens Pants,1224675
All Cat Treats,1229646
Extracts & Flavoring,6652727
NFL Flags,6916793
Plus Size Lingerie,9264283
Womens Workwear Pants,1982351
Pate Wet Cat Food,3222699
Meal Replacements,3008573
Kids' Quilts,1156116
9 Drawer Dressers,2712303
Frozen Sandwiches,8206630
Kites,7355588
Big and Tall Shorts,1224685
Toddler Sandals,7837252
Garlic Pills,4450920
Toddler Dress Shoes,8514270
Juniors Rompers & Jumpsuits,2240335
Womens Skirts,3255044
Shop All Doormats,1030279
Auburn Hair Color,1473138
Black Curtains,6802330
All Dog Food,1015000
Womens Flat Sandals,4329110
